name,site,borough,street_address,city,zip_code,latitude,longitude,rating,num_reviews
Stone Ridge Square Apartments,https://www.m2regroup.com/properties/stone-ridge-square?utm_source=gbp,,1714 E Colorado Ave,Urbana,61802,40.0949085,-88.1871458,4.5,78
ICON Apartment,https://www.iconchampaign.com/,Midtown,309 E Springfield Ave,Champaign,61820,40.112279,-88.2344933,4.6,19
JSM Living,http://www.jsmliving.com/,Campustown,616 E Green St Suite D,Champaign,61820,40.1105931,-88.2296109,3.5,317
The Atrium,http://www.atriumurbana.com/,,1306 N Lincoln Ave,Urbana,61801,40.1245895,-88.2191991,4,73
Parkside Apartments,https://www.m2regroup.com/properties/parkside?utm_source=gbp,,1205 E Florida Ave,Urbana,61801,40.0978454,-88.1941786,4.4,57
Royse + Brinkmeyer Apartments,http://www.roysebrinkmeyer.com/,,211 W Springfield Ave,Champaign,61820,40.112348,-88.246555,4.1,188
The Pointe At U of I,https://www.pointe-ui.com/,,1601 E Florida Ave,Urbana,61802,40.0978603,-88.1891294,3.4,223
Burnham 310,https://burnham310.com/contact/?switch_cls[id]=98541,Midtown,310 E Springfield Ave,Champaign,61820,40.1129271,-88.2347027,3.9,236
The Academy Campustown,https://www.theacademycampustown.com/,Campustown,708 S 6th St,Champaign,61820,40.1095997,-88.2301132,3.4,59
Ramshaw Real Estate,https://ramshaw.com/,,505 W University Ave,Champaign,61820,40.1160003,-88.2508795,3.3,306
University Group,http://ugroupcu.com/,Midtown,309 S 1st St,Champaign,61820,40.1132713,-88.2390489,3.6,664
Hub on Campus Champaign - Daniel,https://huboncampus.com/champaign/?utm_source=GoogleMyBusiness,Campustown,812 S 6th St,Champaign,61820,40.10814999999999,-88.230137,4.8,398
Next Chapter Properties,http://www.nextchapterproperties.com/,Downtown Champaign,217 S Neil St B,Champaign,61820,40.1146098,-88.2438746,3.2,63
Bankier Apartments,http://www.bankierapartments.com/,Campustown,406 E Green St,Champaign,61820,40.1106605,-88.232315,4,82
309 Green,https://www.americancampus.com/student-apartments/il/champaign/309-green,Campustown,309 E Green St,Champaign,61820,40.1100515,-88.2341603,3.8,172
West Quad,https://www.westquad.com/,Campustown,29 E Green St,Champaign,61820,40.1100315,-88.2413648,4,100
75 Armory,http://www.75armory.com/,,75 E Armory Ave,Champaign,61820,40.104935,-88.238893,3.6,83
901 Western,http://901western.com/,,901 W Western Ave,Urbana,61801,40.1120749,-88.2195665,4.3,61
Latitude Apartments,https://www.livelatitude.com/,,608 E University Ave,Champaign,61820,40.1166544,-88.2297642,3.3,347
Fairlawn,https://www.fairlawnre.com/,,2500 Galen Dr UNIT 10,Champaign,61821,40.0819865,-88.2623849,4.3,469
The Tower at Third,https://www.americancampus.com/student-apartments/il/champaign/tower-at-3rd,Campustown,302 E John St #100,Champaign,61820,40.1092666,-88.2350029,4,191
The Linc,https://www.aspensquare.com/apartments/illinois/urbana/the-linc?utm_source=google,,1601 N Lincoln Ave,Urbana,61801,40.1281638,-88.220178,3.6,275
Town & Country Apartments,https://www.tandcapartments.com/%3Frcstdid%3DMg%253D%253D-YRjTEizZPgM%253D,,1032 Kerr Ave,Urbana,61802,40.12229809999999,-88.1972664,3.1,143
Campus Circle,https://www.livecampuscircle.com/?utm_source=gmb,,1010 W University Ave,Urbana,61801,40.1165658,-88.2219593,4.2,550
Illini Tower Apartments,https://www.illinitoweruiuc.com/?utm_source=gbp,,409 E Chalmers St,Champaign,61820,40.1065889,-88.2323389,3.6,282
Seven07,https://liveseven07.com/?y_source=1_Mjg2NTExOTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Campustown,707 S 4th St,Champaign,61820,40.1096008,-88.2341874,4,261
Green Street Realty,https://www.greenstrealty.com/,,510 S Neil St,Champaign,61820,40.1107669,-88.2433132,3.1,626
First Column,,Campustown,512 E Green St Apt B,Champaign,61820,40.1105814,-88.2314749,3.7,89
Yugo Urbana Illinois,https://yugo.com/en-us/global/united-states-of-america/urbana-il/yugo-urbana-illinois?utm_source=googlemaps,,410 N Lincoln Ave,Urbana,61801,40.116014,-88.2191919,4,72
212 East,https://www.212east.com/?switch_cls[id]=98512,Campustown,212 E Green St,Champaign,61820,40.1104105,-88.2356253,4,262
Hunters Pond Apartment Homes,https://www.hunterspond-apartments.com/?utm_source=GMB,,2717 Hunters Pond Run,Champaign,61820,40.1483293,-88.2446949,4,196
Capstone Quarters,http://www.capstonequarters.com/,,1901 N Lincoln Ave,Urbana,61801,40.1299451,-88.2201183,4,88
Campustown Rentals,https://www.americancampus.com/student-apartments/il/champaign/campustown-rentals,Campustown,309 E Green St,Champaign,61820,40.1100515,-88.2341603,3.9,245
MHM Properties,http://www.mhmproperties.com/,,303 S 5th St,Champaign,61820,40.1140313,-88.2323501,4.5,68
HERE Champaign,https://www.herechampaign.com/,Campustown,308 E Green St,Champaign,61820,40.1105109,-88.2342474,3.8,179
Element on Main Apartments,https://chooseelement.com/,,502 W Main St,Urbana,61801,40.114352,-88.2132589,4.4,59
JSJ Property Management,http://www.jsjmanagement.com/,,302 W Springfield Ave,Champaign,61820,40.112886,-88.2473011,3.8,323
Roland Realty,http://www.roland-realty.com/,,901 S 1st St,Champaign,61820,40.1077038,-88.2390656,4,66
The Dean Campustown,https://www.thedean.com/campustown/,Campustown,708 S 6th St,Champaign,61820,40.1095997,-88.2301132,3.9,169
Smile Student Living,https://www.smilestudentliving.com/,Campustown,615 S Wright St,Champaign,61820,40.1109984,-88.2290655,3.6,328
Octave Apartments,https://liveatoctave.com/?utm_source=GMB,,210 S 4th St,Champaign,61820,40.1147027,-88.2330639,3.8,71
Community Property Management,http://cpm-apts.com/,,408 Kenwood Rd,Champaign,61821,40.112127,-88.284729,4.1,486
